# Logfile created on 2018-10-07 00:51:48 +0200 by logger.rb/v1.2.7
OSM_SN: Loading graph from GraphViz file data/near_ucl.dot.
OSM_SN: Processing vertices
OSM_SN: 	 Vertex 21311324 loaded
OSM_SN: 	 Visual vertex 21311324 in 
OSM_SN: 	 Vertex 603696835 loaded
OSM_SN: 	 Visual vertex 603696835 in 
OSM_SN: 	 Vertex 1676873898 loaded
OSM_SN: 	 Visual vertex 1676873898 in 
OSM_SN: 	 Vertex 21311325 loaded
OSM_SN: 	 Visual vertex 21311325 in 
OSM_SN: 	 Vertex 352906041 loaded
OSM_SN: 	 Visual vertex 352906041 in 
OSM_SN: 	 Vertex 352906040 loaded
OSM_SN: 	 Visual vertex 352906040 in 
OSM_SN: 	 Vertex 21311326 loaded
OSM_SN: 	 Visual vertex 21311326 in 
OSM_SN: 	 Vertex 352906039 loaded
OSM_SN: 	 Visual vertex 352906039 in 
OSM_SN: 	 Vertex 21311327 loaded
OSM_SN: 	 Visual vertex 21311327 in 
OSM_SN: 	 Vertex 1131753357 loaded
OSM_SN: 	 Visual vertex 1131753357 in 
OSM_SN: 	 Vertex 21311328 loaded
OSM_SN: 	 Visual vertex 21311328 in 
OSM_SN: 	 Vertex 1131753324 loaded
OSM_SN: 	 Visual vertex 1131753324 in 
OSM_SN: 	 Vertex 1131753468 loaded
OSM_SN: 	 Visual vertex 1131753468 in 
OSM_SN: 	 Vertex 1131753270 loaded
OSM_SN: 	 Visual vertex 1131753270 in 
OSM_SN: 	 Vertex 1676873900 loaded
OSM_SN: 	 Visual vertex 1676873900 in 
OSM_SN: 	 Vertex 21311329 loaded
OSM_SN: 	 Visual vertex 21311329 in 
OSM_SN: 	 Vertex 21311332 loaded
OSM_SN: 	 Visual vertex 21311332 in 
OSM_SN: 	 Vertex 1131753606 loaded
OSM_SN: 	 Visual vertex 1131753606 in 
OSM_SN: 	 Vertex 304321909 loaded
OSM_SN: 	 Visual vertex 304321909 in 
OSM_SN: 	 Vertex 25973241 loaded
OSM_SN: 	 Visual vertex 25973241 in 
OSM_SN: 	 Vertex 25973089 loaded
OSM_SN: 	 Visual vertex 25973089 in 
OSM_SN: 	 Vertex 21311874 loaded
OSM_SN: 	 Visual vertex 21311874 in 
OSM_SN: 	 Vertex 170345398 loaded
OSM_SN: 	 Visual vertex 170345398 in 
OSM_SN: 	 Vertex 307159450 loaded
OSM_SN: 	 Visual vertex 307159450 in 
OSM_SN: 	 Vertex 21311876 loaded
OSM_SN: 	 Visual vertex 21311876 in 
OSM_SN: 	 Vertex 307159457 loaded
OSM_SN: 	 Visual vertex 307159457 in 
OSM_SN: 	 Vertex 170353801 loaded
OSM_SN: 	 Visual vertex 170353801 in 
OSM_SN: 	 Vertex 21311886 loaded
OSM_SN: 	 Visual vertex 21311886 in 
OSM_SN: 	 Vertex 2902656702 loaded
OSM_SN: 	 Visual vertex 2902656702 in 
OSM_SN: 	 Vertex 1131736499 loaded
OSM_SN: 	 Visual vertex 1131736499 in 
OSM_SN: 	 Vertex 21311887 loaded
OSM_SN: 	 Visual vertex 21311887 in 
OSM_SN: 	 Vertex 21673405 loaded
OSM_SN: 	 Visual vertex 21673405 in 
OSM_SN: 	 Vertex 392032694 loaded
OSM_SN: 	 Visual vertex 392032694 in 
OSM_SN: 	 Vertex 1131753332 loaded
OSM_SN: 	 Visual vertex 1131753332 in 
OSM_SN: 	 Vertex 21673408 loaded
OSM_SN: 	 Visual vertex 21673408 in 
OSM_SN: 	 Vertex 29382252 loaded
OSM_SN: 	 Visual vertex 29382252 in 
OSM_SN: 	 Vertex 21673409 loaded
OSM_SN: 	 Visual vertex 21673409 in 
OSM_SN: 	 Vertex 794638589 loaded
OSM_SN: 	 Visual vertex 794638589 in 
OSM_SN: 	 Vertex 1035742924 loaded
OSM_SN: 	 Visual vertex 1035742924 in 
OSM_SN: 	 Vertex 794536596 loaded
OSM_SN: 	 Visual vertex 794536596 in 
OSM_SN: 	 Vertex 25973235 loaded
OSM_SN: 	 Visual vertex 25973235 in 
OSM_SN: 	 Vertex 21673419 loaded
OSM_SN: 	 Visual vertex 21673419 in 
OSM_SN: 	 Vertex 344481243 loaded
OSM_SN: 	 Visual vertex 344481243 in 
OSM_SN: 	 Vertex 1131776617 loaded
